"Call Number","PLACE_CODE","BEGIN_PUB_DATE","Brittle","Age","Region"
"F2230.1.F2 K56 2012","nyu",2012,"0",9,"North America"
"F2230.2.A9 O77 2004","nyu",2004,"0",17,"North America"
"F2235 .N5 1969","nyu",1969,"0",52,"North America"
"F2235.3 .A1296","ne",1971,"0",50,"Europe"
"F2235.3 .A156","nyu",1970,"0",51,"North America"
"F2270.1.A7 E44 1990","ncu",1990,"0",31,"North America"
"F2270.2 .D4 R42 1985","cau",1985,"0",36,"North America"
"F2271 .H51","ncu",1938,"1",83,"North America"
"F2272 .M55 2001","ck",2001,"0",20,"South America"
"F2277 .G24 S48","pau",1978,"0",43,"North America"
"F2279 .W55 1999","ctu",1999,"0",22,"North America"
"F2281.A79 H45 2004","ncu",2004,"0",17,"North America"
"F2291.B657 O56 1999","ck",1999,"0",22,"South America"
"F2299.B55 A84 2009","ncu",2009,"0",12,"North America"
"F2310 .S54 1998","ve",1998,"0",23,"South America"
"F2322 .O9613 1987","cau",1987,"0",34,"North America"
"F2325 .H66 1977","nju",1977,"0",44,"North America"
"F2380.1 .A6 F2","pau",1967,"1",54,"North America"
"F2380.1.A7 T48","ilu",1982,"0",39,"North America"
"F2510 .W26","nyu",1963,"0",58,"North America"
"F2513 .B972","nyu",1969,"0",52,"North America"
"F2513 .C14 1969","nyu",1969,"0",52,"North America"
"F2519.1 .A6 R56","nyu",1980,"0",41,"North America"
"F2520.1.A4 X39 2002","miu",2002,"0",19,"North America"
"F2520.1.B75 C76 1985","azu",1985,"0",36,"North America"
"F2520.1.B75 F34 1992","flu",1992,"0",29,"North America"
"F2520.1.P32 C56 2001","txu",2001,"0",20,"North America"
"F2520.1.S4 N5 1967","cau",1967,"0",54,"North America"
"F2520.1.Y3 T54 2000","nyu",2000,"0",21,"North America"
"F2528 .M76","nyu",1965,"0",56,"North America"
"F2534 .M29","enk",1973,"0",48,"Europe"
"F2536 .S42 1984","lau",1984,"0",37,"North America"
"F2537 .C97513 2010","nyu",2010,"0",11,"North America"
"F2537.C97554 H33 2013","ilu",2013,"0",8,"North America"
"F2538 .Y6","nju",1967,"1",54,"North America"
"F2538.2 .W47 1983","nyu",1983,"0",38,"North America"
"F2538.5.C37 G64 1999","cou",1999,"0",22,"North America"
"F2546 .S83 1985","nyu",1985,"0",36,"North America"
"F2651.F55 G72 2009","nyu",2009,"0",12,"North America"
"F2651.S139 N47 2003","nyu",2003,"0",18,"North America"
"F2651.S1655 M37 2006","bl",2006,"0",15,"South America"
"F2659 .A5 H37 1985","msu",1985,"0",36,"North America"
"F2659.A1 R58 1999","nyu",1999,"0",22,"North America"
"F2659.N4 R25 1999","ncu",1999,"0",22,"North America"
"F2687 .W54 2002","nbu",2002,"0",19,"North America"
"F2725.A7 S75","enk",1959,"0",62,"Europe"
"F2821.3.A8 P47 2004","ag",2004,"0",17,"South America"
"F2831 .L69 2001","ctu",2001,"0",20,"North America"
"F2833.5.C5 R38 1999","ctu",1999,"0",22,"North America"
"F2843 .S47 1993","enk",1991,"0",30,"Europe"
"F2846 .P3647","ag",1969,"0",52,"South America"
"F2846.3.R7 L93","enk",1981,"0",40,"Europe"
"F2847 .A9 1970","ag",1970,"0",51,"South America"
"F2849 .H6 1988","nmu",1988,"0",33,"North America"
"F2849 .M393 1997","cau",1997,"0",24,"North America"
"F2849.2 .G73","enk",1981,"0",40,"Europe"
"F2849.2 .S98 1993","pau",1993,"0",28,"North America"
"F2849.2 D5 1983","nyu",1983,"0",38,"North America"
"F2849.P48 A6 1965","nyu",1965,"0",56,"North America"
"F2936 .W45","cau",1947,"1",74,"North America"
"F3001 B98393 1982","txu",1982,"0",39,"North America"
"F3001.3 .B543 2008","pau",2008,"0",13,"North America"
"F3031.5 .M643 1998","enk",1998,"0",23,"Europe"
"F3069 .B53 1988","iau",1988,"0",33,"North America"
"F3076.B3 D58","mx",1967,"1",54,"North America"
"F3081 .V51 1969","ag",1969,"1",52,"South America"
"F3094 .O357","nyu",1968,"0",53,"North America"
"F3099 .S85 1970","ctu",1970,"0",51,"North America"
"F3099 .W6 1972","mau",1972,"0",49,"North America"
"F3100 .C4721713 2000","cau",2000,"0",21,"North America"
"F3101 .L47 F73","ctu",1980,"0",41,"North America"
"F3101.P56 B87 2003","enk",2003,"0",18,"Europe"
"F3126 .B33 2007","txu",2007,"0",14,"North America"
"F3126 .C36 2007","ag",2007,"0",14,"South America"
"F3319.1.T57 S73 2003","cau",2003,"0",18,"North America"
"F3325 .K4","enk",1969,"0",52,"Europe"
"F3326 .M25","pau",1970,"0",51,"North America"
"F3326 .P5713 1997","nyu",1997,"0",24,"North America"
"F3423 .S77 1973","nyu",1973,"0",48,"North America"
"F3429 .D57 2010","iau",2010,"0",11,"North America"
"F3429 .M255 2005","ncu",2005,"0",16,"North America"
"F3429 .M36 1968","enk",1968,"1",53,"Europe"
"F3429 .M572 2002","pe",2002,"0",19,"South America"
"F3429 .M882 1997","nyu",1997,"0",24,"North America"
"F3429.1 .A9 I82","ilu",1977,"0",44,"North America"
"F3429.1 .I24 M46","cau",1976,"0",45,"North America"
"F3429.1 .M63 D66","txu",1978,"0",43,"North America"
"F3429.1.A9 P73 1980","miu",1983,"0",38,"North America"
"F3429.1.P22 A77 2008","pe",2008,"0",13,"South America"
"F3429.1.S45 C37 1991","pe",1991,"0",30,"South America"
"F3429.3 .P65 J84 1983","cau",1983,"0",38,"North America"
"F3429.3 .P8 S29","nyu",1966,"0",55,"North America"
"F3429.3.M63 C33 2000","ncu",2000,"0",21,"North America"
"F3429.3.T3 C33 2005","pe",2005,"0",16,"South America"
"F3429.H826 M67 1985","enk",1985,"0",36,"Europe"
"F3430.1.M6 B686 2007","cl",2007,"0",14,"South America"
"F3430.1.M6 M87 2000","pe",2000,"0",21,"South America"
"F3431 .R59","pe",1960,"0",61,"South America"
"F3442 .C66313 1998","ncu",1998,"0",23,"North America"
"F3442 .P725","nyu",1932,"1",89,"North America"
"F3442 P7813 1969","nyu",1969,"0",52,"North America"
"F3444 .T959 2008","inu",2008,"0",13,"North America"
"F3444.V5 C3","xx",1969,"0",52,"No place"
"F3448.2 .P49 1983","nju",1983,"0",38,"North America"
"F3448.2 .S23 1986","cou",1987,"0",34,"North America"
"F3611.C9 B4 1970","nyu",1970,"0",51,"North America"
"F3716 .M55 2001","dcu",2001,"0",20,"North America"
"F3721.1.C29 B43 2008","ncu",2008,"0",13,"North America"
